code;name;categoryText;categoryText2;categoryText3;categoryText4;purchasePrice;includingVat;variantVisibility;
"404677-451_15";"ACE WOVEN SHORT/OBSIDIAN";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"642,60";"1";"1";
"404677-451_17";"ACE WOVEN SHORT/OBSIDIAN";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová šortky Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"642,60";"1";"1";
"404678-100_14";"ACE RAFA JACKET/WHITE";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"1290,60";"1";"1";
"404678-100_15";"ACE RAFA JACKET/WHITE";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"1290,60";"1";"1";
"404678-100_17";"ACE RAFA JACKET/WHITE";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"1290,60";"1";"1";
"404678-406";"RAFA ACE JACKET/PHOTO BLUE";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;;;"1290,60";"1";"0";
"404678-622_15";"ACE RAFA JACKET/CRIMSON";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"1290,60";"1";"1";
"404678-622_17";"ACE RAFA JACKET/CRIMSON";Pro's Equipment > Rafael Nadal;Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisové mikiny Nike - pánské;Výprodej!!! > Obleèení a doplòky;;"1290,60";"1";"1";
"404681-010_14";"SHOWDOWN SUNBURST POLO/BLACK";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"750,60";"1";"1";
"404681-010_15";"SHOWDOWN SUNBURST POLO/BLACK";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"750,60";"1";"1";
"404681-010_16";"SHOWDOWN SUNBURST POLO/BLACK";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"750,60";"1";"1";
"404681-010_17";"SHOWDOWN SUNBURST POLO/BLACK";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"750,60";"1";"1";
"404681-100_14";"SHOWDOWN SUNBURST POLO/WHITE";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"750,60";"1";"1";
"404681-100_15";"SHOWDOWN SUNBURST POLO/WHITE";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"750,60";"1";"1";
"404681-100_17";"SHOWDOWN SUNBURST POLO/WHITE";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"750,60";"1";"1";
"404691-703_17";"N.E.T. STRIPE PIQUE POLO/VARSITY MAIZE";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"534,60";"1";"1";
"404696-451_14";"PIQUE POLO BAY T-SHIRT/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"480,60";"1";"1";
"404696-451_15";"PIQUE POLO BAY T-SHIRT/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"480,60";"1";"1";
"404696-451_16";"PIQUE POLO BAY T-SHIRT/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"480,60";"1";"1";
"404696-451_17";"PIQUE POLO BAY T-SHIRT/DARK OBSIDIAN";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"480,60";"1";"1";
"404696-485_14";"PIQUE POLO BAY T-SHIRT/BLUE";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"480,60";"1";"1";
"404696-485_15";"PIQUE POLO BAY T-SHIRT/BLUE";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"480,60";"1";"1";
"404696-485_16";"PIQUE POLO BAY T-SHIRT/BLUE";Tenisové obleèení > Tenisové obleèení Nike - pánské > Tenisová trièka Nike - pánská;;;;"480,60";"1";"1";
